course_id,course_code,name,level_id,active
course-ees1500-v1,EES1500,Tecnologías Inclusivas para el Aprendizaje,course-level-undergraduate-v1,true
course-psb408-v1,PSB408,Cultura y Sociedad Latinoamericana,course-level-undergraduate-v1,true
course-psg001-v1,PSG001,Lengua de Señas Chilena: la Comunidad Sorda y su Cultura,course-level-undergraduate-v1,true
course-psi1100-v1,PSI1100,Taller de Integración I,course-level-undergraduate-v1,true
course-psi1101-v1,PSI1101,Procesos Psicológicos Básicos,course-level-undergraduate-v1,true
course-psi1104-v1,PSI1104,Psicología del Desarrollo I,course-level-undergraduate-v1,true
course-psi1106-v1,PSI1106,Juego y Creatividad,course-level-undergraduate-v1,true
course-psi1107-v1,PSI1107,Convivencia Escolar y Aprendizaje Socioemocional,course-level-undergraduate-v1,true
course-psi1200-v1,PSI1200,Taller de Integración II,course-level-undergraduate-v1,true
course-psi1203-v1,PSI1203,Metodologías de Investigación en Psicología,course-level-undergraduate-v1,true
course-psi1204-v1,PSI1204,Fundamentos Biológicos del Comportamiento,course-level-undergraduate-v1,true
course-psi1205-v1,PSI1205,Psicología Social,course-level-undergraduate-v1,true
course-psi1206-v1,PSI1206,Teorías Sociales en Psicología,course-level-undergraduate-v1,true
course-psi2300-v1,PSI2300,Métodos de Investigación Cualitativa,course-level-undergraduate-v1,true
course-psi2303-v1,PSI2303,Psicoanálisis,course-level-undergraduate-v1,true
course-psi2307-v1,PSI2307,Teoría de Sistemas,course-level-undergraduate-v1,true
course-psi2308-v1,PSI2308,"Inteligencia, Pensamiento y Lenguaje",course-level-undergraduate-v1,true
course-psi2309-v1,PSI2309,Afectividad y Motivación,course-level-undergraduate-v1,true
course-psi2402-v1,PSI2402,Psicopatología Infanto-Juvenil,course-level-undergraduate-v1,true
course-psi2405-v1,PSI2405,Evaluación Psicológica II,course-level-undergraduate-v1,true
course-psi2406-v1,PSI2406,Iniciación Profesional a la Psicología Clínica,course-level-undergraduate-v1,true
course-psi2407-v1,PSI2407,Iniciación Profesional a la Psicología Educacional,course-level-undergraduate-v1,true
course-psi2408-v1,PSI2408,Iniciación Profesional a la Psicología Laboral-Organizacional,course-level-undergraduate-v1,true
course-psi2409-v1,PSI2409,Iniciación Profesional a la Psicología de la Salud,course-level-undergraduate-v1,true
course-psi2410-v1,PSI2410,Iniciación Profesional a la Psicología Comunitaria,course-level-undergraduate-v1,true
course-psi2424-v1,PSI2424,Práctica de Investigación en Ciencia Psicológica,course-level-undergraduate-v1,true
course-psi2436-v1,PSI2436,Psicología Aplicada a Emergencias y Desastres,course-level-undergraduate-v1,true
