employment_id,academic_id,profile_id,status_id,weekly_hours,valid_from,valid_to,recorded_at,recorded_by_actor_id
employment-aa35b388-35bc-5c19-8169-4f99fe5ae52a,8a2d544a-0030-4782-8617-85df2843e964,academic-profile-special-standard-v1,academic-status-active-v1,30,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-e1a17e9b-4720-52ca-85b7-ce13d4f3ba34,f534ecba-dd31-43fd-86bc-8f6a5cdb4c59,academic-profile-special-standard-v1,academic-status-active-v1,30,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-02d42c6b-1259-5b15-9f8f-6c20aa2cb5e4,48c9e59a-0e7e-45aa-a5dd-064f24ddfb35,academic-profile-special-standard-v1,academic-status-active-v1,30,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-15fb7579-8ce4-5e4d-983a-262248c30056,788b7bb3-595b-4a3b-b999-611964036b2f,academic-profile-special-standard-v1,academic-status-active-v1,30,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-44405474-3bae-59d3-87e6-35a1d09de501,07afa57a-5901-4983-be54-c799f1292a4c,academic-profile-special-standard-v1,academic-status-active-v1,30,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-e1bd0112-1ccf-5fa7-87de-71ce2a160deb,57de2b83-b797-4ae5-ae09-1b6f40fb8475,academic-profile-special-standard-v1,academic-status-active-v1,30,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-9144c2ca-14ad-51ac-b7dc-5bf78ecffe74,d963d75a-e504-41a0-b82a-7fa5003aaeff,academic-profile-special-standard-v1,academic-status-active-v1,30,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-58863ba7-7f73-59df-9a53-c5e7168c2db9,d3dc61b2-188b-4e2a-a725-b7a7961808d4,academic-profile-special-teaching-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-8f1d4e66-4d46-5d2c-8f71-836ced66942a,7e37c9e2-4e53-4b4f-bf65-d8299c984467,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-650b45d3-7def-537c-ae28-9c8b66a91160,b4baf6c7-dc0c-4d33-b050-cb7874c9082b,academic-profile-ordinary-mixed-v1,academic-status-active-v1,20,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-91449416-b9e5-5686-b5e5-d9946e944d1e,593118a5-6961-41b3-ac28-4e9fdfd177b9,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-c1831192-4c96-5765-8633-59d178e33972,cefba5e4-69a0-40be-a0eb-6bac956e6252,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-6d3240ff-3385-5013-9a22-b9d802db595b,a6b2e4ba-9221-478f-b2f4-4482ccc713c6,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-7f78e831-711e-5acf-859c-59df070e5b3f,a6244c96-d9ff-473a-bd43-5be9fcf21bbe,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-b1b4435d-51f1-5be0-8428-4c716a14cb37,6a6b8df9-e1c1-4c69-b163-75aef672c73b,academic-profile-ordinary-mixed-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-8c4e0823-c60e-5452-8746-2daee0b09a8a,bfaecd5e-24a8-4844-987b-63a1cfba0257,academic-profile-ordinary-research-v1,academic-status-active-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
employment-8e9f9998-e1ad-5dc5-a1f5-fc91a74b493e,5de07668-943e-49f7-aaf2-da5a5afdd7d5,academic-profile-ordinary-mixed-v1,academic-status-sabbatical-v1,40,2026-08-04,,2026-08-04T16:39:50-04:00,
